area_name,average_age_of_the_population,median_age_of_the_population,number_of_persons_in_private_households,average_household_size,year
West Humber-Clairville,40.5,38,33300,3.1,2021
Mount Olive-Silverstone-Jamestown,37.8,36,31345,3.2,2021
Thistletown-Beaumond Heights,41,39.2,9850,3,2021
Rexdale-Kipling,41.9,42,10375,2.6,2021
Elms-Old Rexdale,39.6,38.4,9355,2.9,2021
Kingsview Village-The Westway,40.1,38.8,22005,2.8,2021
Willowridge-Martingrove-Richview,44,44.4,22445,2.6,2021
Humber Heights-Westmount,45.5,47.2,10005,2.4,2021
Edenbridge-Humber Valley,45.1,46.8,15190,2.4,2021
Princess-Rosethorn,43.7,46,11170,2.9,2021
Eringate-Centennial-West Deane,44.6,46.4,18450,2.7,2021
Markland Wood,47.5,50.8,10365,2.5,2021
Etobicoke West Mall,41,39.6,11865,2.5,2021
Kingsway South,44.7,48,8855,2.6,2021
Stonegate-Queensway,42.5,43.6,25650,2.4,2021
New Toronto,41.1,40.4,11345,2.2,2021
Long Branch,40.9,39.6,11360,2.2,2021
Alderwood,42.7,43.2,12595,2.6,2021
Humber Summit,42,40.8,12185,3.1,2021
Humbermede,38.8,37.6,16955,3,2021
Pelmo Park-Humberlea,41.2,40.8,11290,2.9,2021
Black Creek,38.6,37.6,21145,2.9,2021
Glenfield-Jane Heights,40.8,40,30020,3,2021
York University Heights,38.9,35.6,28255,2.7,2021
Rustic,41.3,40.4,9390,2.7,2021
Maple Leaf,43,43.6,9845,2.7,2021
Brookhaven-Amesbury,39.3,38.4,17495,2.7,2021
Yorkdale-Glen Park,42,39.6,16625,2.4,2021
Englemount-Lawrence,39.2,38.4,21285,2.6,2021
Clanton Park,39.7,38.8,17620,2.5,2021
Bathurst Manor,42.3,42.4,15955,2.6,2021
Westminster-Branson,43.8,44,25705,2.6,2021
Newtonbrook West,43.1,42,23805,2.6,2021
Willowdale West,43.2,40,17160,2.2,2021
Lansing-Westgate,40.5,39.6,15910,2.4,2021
Bedford Park-Nortown,42.1,44,22145,2.7,2021
St.Andrew-Windfields,43.6,45.2,16960,2.7,2021
Bridle Path-Sunnybrook-York Mills,45.1,49.2,8940,2.7,2021
Banbury-Don Mills,46.7,48.4,27155,2.2,2021
Victoria Village,42.4,42.4,17365,2.4,2021
Flemingdon Park,38.2,36,22530,2.8,2021
Pleasant View,44.6,45.2,15220,2.8,2021
Don Valley Village,42,41.2,26775,2.6,2021
Hillcrest Village,47.5,49.6,16345,2.6,2021
Bayview Woods-Steeles,47.5,50,12085,2.5,2021
Newtonbrook East,43.9,42.4,15345,2.5,2021
Bayview Village,42.2,39.2,22330,2.1,2021
Henry Farm,35.7,32.8,19840,2.3,2021
O`Connor Parkview,41.5,42,18405,2.5,2021
Thorncliffe Park,35.1,34,20400,2.9,2021
Leaside-Bennington,41.6,44.4,16535,2.6,2021
Broadview North,42.6,42.4,10955,2.1,2021
Old East York,43,44,9160,2.5,2021
Danforth-East York,41.2,42,17065,2.5,2021
Woodbine-Lumsden,41.5,41.6,7915,2.3,2021
Taylor Massey,37.8,37.2,15025,2.5,2021
East End Danforth,40.1,40.8,21840,2.3,2021
The Beaches,42,43.6,21510,2.3,2021
Woodbine Corridor,39.3,40.8,12205,2.3,2021
Greenwood-Coxwell,39.3,38.8,14120,2.3,2021
Danforth,41.8,41.6,9305,2.4,2021
Playter Estates-Danforth,43.2,42.8,7680,2.1,2021
North Riverdale,42.1,43.2,11290,2.3,2021
Blake-Jones,39.9,40.4,7475,2.4,2021
South Riverdale,39.9,38.8,27815,2.2,2021
Cabbagetown-South St. James Town,45.5,45.2,11020,1.8,2021
Regent Park,37.6,35.2,12750,2.1,2021
Moss Park,39.1,35.6,21490,1.6,2021
North St. James Town,38.9,36.4,18535,2,2021
Kensington-Chinatown,40.6,34.8,18120,1.9,2021
University,41.1,36,6435,2,2021
Palmerston-Little Italy,41.3,36.8,13120,2.1,2021
Trinity-Bellwoods,41.5,38,15415,2.3,2021
Dufferin Grove,40.9,38,11215,2.1,2021
Little Portugal,39,35.2,15485,2,2021
South Parkdale,40.2,37.2,20495,1.8,2021
Roncesvalles,40.3,39.2,14610,2.2,2021
High Park-Swansea,41.6,40.8,22665,2.2,2021
High Park North,41.3,39.2,21855,2,2021
Runnymede-Bloor West Village,39.7,41.6,10120,2.6,2021
Junction Area,40,39.6,14010,2.3,2021
Weston-Pelham Park,40.3,39.2,10680,2.6,2021
Corso Italia-Davenport,41.3,40,13200,2.5,2021
Wychwood,42.5,41.2,12800,2.2,2021
Annex,43.4,39.6,29300,1.8,2021
Casa Loma,46.2,46,11350,2,2021
Yonge-St. Clair,46.4,44.8,12905,1.8,2021
Rosedale-Moore Park,47.3,50,20080,2,2021
Mount Pleasant East,41.2,42,16370,2.3,2021
Yonge-Eglinton,40.6,38.8,12410,2.1,2021
Forest Hill South,45,46,10860,2.1,2021
Forest Hill North,42.3,42.4,12290,2.3,2021
Lawrence Park South,41.4,42.8,14960,2.6,2021
Lawrence Park North,39.8,42,14675,2.7,2021
Humewood-Cedarvale,40.5,39.2,13845,2.2,2021
Oakwood Village,41.9,40.8,20710,2.4,2021
Briar Hill-Belgravia,42.1,41.2,14575,2.5,2021
Caledonia-Fairbank,41.2,40.4,10015,2.7,2021
Keelesdale-Eglinton West,41.9,41.2,11390,2.6,2021
Rockcliffe-Smythe,42.2,42,22235,2.5,2021
Beechborough-Greenbrook,40.2,39.6,6260,2.4,2021
Weston,39.6,38.8,18675,2.4,2021
Lambton Baby Point,39.8,40.8,7965,2.6,2021
Mount Dennis,39.4,39.2,13055,2.6,2021
Steeles,47.1,49.2,22765,2.9,2021
Tam O'Shanter-Sullivan,44.4,44,27205,2.6,2021
Wexford/Maryvale,41.7,41.2,28345,2.8,2021
Clairlea-Birchmount,39.6,39.2,26840,2.9,2021
Oakridge,38.2,37.2,13705,2.6,2021
Birchcliffe-Cliffside,42.7,44.4,22700,2.4,2021
Cliffcrest,42.1,43.2,16130,2.7,2021
Kennedy Park,41.7,41.6,17110,2.6,2021
Ionview,40.1,39.2,13365,2.7,2021
Dorset Park,40.6,40.4,24305,2.8,2021
Agincourt South-Malvern West,42.6,40.8,24170,2.7,2021
Agincourt North,45.1,46.4,27540,3,2021
Milliken,44.9,46,23980,3.2,2021
Centennial Scarborough,42.7,44.4,13380,3,2021
Highland Creek,44.1,44.8,12625,3.3,2021
Morningside,39.9,38.8,17660,3,2021
West Hill,40.6,40,28140,2.8,2021
Eglinton East,39.9,38.8,22535,2.8,2021
Scarborough Village,38.6,38,16520,2.8,2021
Guildwood,46.7,48.8,9680,2.5,2021
Golfdale-Cedarbrae-Woburn,38.8,36.4,27085,3.1,2021
Woburn North,40.1,37.6,26580,2.7,2021
West Rouge,43.1,44,20670,2.9,2021
Morningside Heights,39.4,38,24940,3.8,2021
Malvern West,39.1,38,17320,3.4,2021
Malvern East,40.9,40,26095,3.1,2021
L'Amoreaux West,45.9,47.6,21545,2.6,2021
East L'Amoreaux,43.3,43.6,21495,3,2021
Parkwoods-O'Connor Hills,41.6,43.2,13965,2.8,2021
Fenside-Parkwoods,40.6,39.2,20510,2.5,2021
Yonge-Doris,41.5,38,20160,2.1,2021
East Willowdale,41.6,41.2,15485,2.8,2021
Avondale,37.9,35.2,13790,2,2021
Oakdale-Beverley Heights,39.8,39.6,21420,2.8,2021
Downsview,41,40,17970,2.6,2021
Bendale-Glen Andrew,41.1,38,18685,2.5,2021
Bendale South,40.8,39.2,10725,3.2,2021
Islington,43.3,43.6,23460,2.5,2021
Etobicoke City Centre,39.4,36.4,23600,2,2021
Mimico-Queensway,41.8,40.8,17045,2.2,2021
Humber Bay Shores,42.3,38,22605,1.7,2021
West Queen West,38.6,36,13170,1.7,2021
Fort York-Liberty Village,34.9,32.4,19915,1.6,2021
Wellington Place,33.3,30.8,25570,1.5,2021
Harbourfront-CityPlace,34.8,32,28135,1.7,2021
St Lawrence-East Bayfront-The Islands,39.9,35.2,31285,1.7,2021
Church-Wellesley,38.5,33.6,22320,1.5,2021
Downtown Yonge East,38.2,32.8,17700,1.6,2021
Bay-Cloverhill,37,29.8,16670,1.6,2021
Yonge-Bay Corridor,34.5,31,12645,1.7,2021
Junction-Wallace Emerson,39.6,37.6,23180,2.3,2021
Dovercourt Village,41.9,39.2,12380,2.3,2021
North Toronto,39.2,35.2,15885,1.7,2021
South Eglinton-Davisville,40.1,36,22735,1.7,2021
